iter	Logloss
0	0.5241313091
1	0.3983234442
2	0.2734180637
3	0.2125891411
4	0.1796706442
5	0.1519974844
6	0.1344726206
7	0.1197727051
8	0.1111418059
9	0.102856843
10	0.09575520336
11	0.08972272342
12	0.0855710068
13	0.08136913819
14	0.07861575882
15	0.07402723564
16	0.0720171745
17	0.06985805185
18	0.06806216087
19	0.06683129665
20	0.06417819881
21	0.06260043448
22	0.06089172458
23	0.05980778973
24	0.05857089307
25	0.05808859329
26	0.05721802818
27	0.05649081148
28	0.05612692013
29	0.05509199958
30	0.05454259329
31	0.05399134076
32	0.05308129699
33	0.05216795305
34	0.05166436706
35	0.05107228872
36	0.050660725
37	0.05027660019
38	0.050070903
39	0.04969408988
40	0.04944354122
41	0.04898757606
42	0.04820465945
43	0.04784577886
44	0.04742065995
45	0.04698189311
46	0.04655162999
47	0.04606963763
48	0.04563200034
49	0.04531399489
50	0.04490843949
51	0.04442845629
52	0.04415323328
53	0.04392475243
54	0.04357318751
55	0.04330366635
56	0.04306999656
57	0.04256779125
58	0.04214892367
59	0.04188199194
60	0.04166790286
61	0.041326552
62	0.04084642717
63	0.04061843907
64	0.04038877564
65	0.04012730863
66	0.03994655509
67	0.03971669673
68	0.03954363707
69	0.03927345806
70	0.03913738685
71	0.03887168647
72	0.03872501981
73	0.03853129596
74	0.03822996002
75	0.03801836025
76	0.03781402769
77	0.03769854039
78	0.0373943174
79	0.0372598624
80	0.03708096744
81	0.03698051774
82	0.03685690444
83	0.03641573001
84	0.0363206842
85	0.0360329993
86	0.03594445224
87	0.03574241631
88	0.03564325249
89	0.03535362452
90	0.03518444487
91	0.03505941928
92	0.03494512476
93	0.03486321295
94	0.03467472281
95	0.03463207567
96	0.03452341744
97	0.03431856946
98	0.03425676788
99	0.03417850015
100	0.03401053925
101	0.03394080897
102	0.03372191436
103	0.03357466008
104	0.03340546621
105	0.03316815978
106	0.0329906073
107	0.03286633809
108	0.0326907805
109	0.03254894933
110	0.03226004663
111	0.03210574477
112	0.03191866683
113	0.03178904836
114	0.03158975864
115	0.03143236113
116	0.03129971341
117	0.03113682266
118	0.03104649248
119	0.03095470077
120	0.03085063024
121	0.03072596369
122	0.03068208297
123	0.03057771931
124	0.03051995822
125	0.03038345344
126	0.03028163461
127	0.03019235748
128	0.03008963973
129	0.03000320023
130	0.0299590721
131	0.02986519518
132	0.02979131454
133	0.02972352837
134	0.02965346084
135	0.02960690628
136	0.02954726186
137	0.02950924812
138	0.02932533107
139	0.02919800397
140	0.02912838861
141	0.0289971869
142	0.02893278889
143	0.02884433919
144	0.02881396003
145	0.02876485932
146	0.02871506673
147	0.02866212979
148	0.02859112865
149	0.02852215732
150	0.02843835502
151	0.02835111183
152	0.0283268665
153	0.02827964713
154	0.02812374736
155	0.02799602532
156	0.02788856825
157	0.02777737126
158	0.02759397305
159	0.02746773702
160	0.02740924184
161	0.02733611451
162	0.02719944419
163	0.02705957106
164	0.02687956441
165	0.02679298942
166	0.02675768014
167	0.02666906394
168	0.02654192438
169	0.02641450975
170	0.02635741004
171	0.02629828703
172	0.02622571921
173	0.02613887099
174	0.02607085378
175	0.02602264812
176	0.02589774612
177	0.02574831178
178	0.02569192219
179	0.02557606629
180	0.02553577064
181	0.02550610583
182	0.0254008848
183	0.02534841025
184	0.02525456292
185	0.02518752898
186	0.02516151931
187	0.02510692733
188	0.02507193033
189	0.02504755413
190	0.02502667021
191	0.02489795652
192	0.02487353855
193	0.02480775873
194	0.02477477951
195	0.02471979377
196	0.02466911261
197	0.02460185889
198	0.02457880182
199	0.02454041836
200	0.02447523579
201	0.02440644133
202	0.02434755701
203	0.02432126354
204	0.02426096239
205	0.02420349633
206	0.02414048775
207	0.02411307178
208	0.02407819403
209	0.02405125809
210	0.02402816814
211	0.02401021207
212	0.02397943077
213	0.0239610676
214	0.02393097115
215	0.02389302367
216	0.02385693743
217	0.02383957547
218	0.02380578338
219	0.02378225036
220	0.0237630446
221	0.02375602518
222	0.02373353747
223	0.02369915326
224	0.02364997838
225	0.023555675
226	0.02351401626
227	0.02346259548
228	0.02341548681
229	0.02337123659
230	0.02332201284
231	0.02329302862
232	0.02326737927
233	0.02323209362
234	0.02321636572
235	0.02318545876
236	0.02317071835
237	0.02313489778
238	0.02310558201
239	0.02308241348
240	0.02306188702
241	0.0230315789
242	0.02300977337
243	0.02299444907
244	0.0229689793
245	0.02293737681
246	0.02291227531
247	0.02287315153
248	0.02284438484
249	0.02282185762
